State,"Overall Homeless, 2018","Sheltered ES Homeless, 2018","Sheltered TH Homeless, 2018","Sheltered SH Homeless, 2018","Sheltered Total Homeless, 2018","Unsheltered Homeless, 2018","Homeless Individuals, 2018","Sheltered ES Homeless Individuals, 2018","Sheltered TH Homeless Individuals, 2018","Sheltered SH Homeless Individuals, 2018","Sheltered Total Homeless Individuals, 2018","Unsheltered Homeless Individuals, 2018","Homeless People in Families, 2018","Sheltered ES Homeless People in Families, 2018","Sheltered TH Homeless People in Families, 2018","Sheltered Total Homeless People in Families, 2018","Unsheltered Homeless People in Families, 2018","Homeless Family Households, 2018","Sheltered ES Homeless Family Households, 2018","Sheltered TH Homeless Family Households, 2018","Sheltered Total Homeless Family Households, 2018","Unsheltered Homeless Family Households, 2018","Chronically Homeless, 2018","Sheltered ES Chronically Homeless, 2018","Sheltered SH Chronically Homeless, 2018","Sheltered Total Chronically Homeless, 2018","Unsheltered Chronically Homeless, 2018","Chronically Homeless Individuals, 2018","Sheltered ES Chronically Homeless Individuals, 2018","Sheltered SH Chronically Homeless Individuals, 2018","Sheltered Total Chronically Homeless Individuals, 2018","Unsheltered Chronically Homeless Individuals, 2018","Chronically Homeless People in Families, 2018","Sheltered ES Chronically Homeless People in Families, 2018","Sheltered Total Chronically Homeless People in Families, 2018","Unsheltered Chronically Homeless People in Families, 2018","Homeless Veterans, 2018","Sheltered ES Homeless Veterans, 2018","Sheltered TH Homeless Veterans, 2018","Sheltered SH Homeless Veterans, 2018","Sheltered Total Homeless Veterans, 2018","Unsheltered Homeless Veterans, 2018","Homeless Unaccompanied Youth (Under 25), 2018","Sheltered ES Homeless Unaccompanied Youth (Under 25), 2018","Sheltered TH Homeless Unaccompanied Youth (Under 25), 2018","Sheltered SH Homeless Unaccompanied Youth (Under 25), 2018","Sheltered Total Homeless Unaccompanied Youth (Under 25), 2018","Unsheltered Homeless Unaccompanied Youth (Under 25), 2018","Homeless Unaccompanied Youth Under 18, 2018","Sheltered ES Homeless Unaccompanied Youth Under 18, 2018","Sheltered TH Homeless Unaccompanied Youth Under 18, 2018","Sheltered SH Homeless Unaccompanied Youth Under 18, 2018","Sheltered Total Homeless Unaccompanied Youth Under 18, 2018","Unsheltered Homeless Unaccompanied Youth Under 18, 2018","Homeless Unaccompanied Youth Age 18-24, 2018","Sheltered ES Homeless Unaccompanied Youth Age 18-24, 2018","Sheltered TH Homeless Unaccompanied Youth Age 18-24, 2018","Sheltered SH Homeless Unaccompanied Youth Age 18-24, 2018","Sheltered Total Homeless Unaccompanied Youth Age 18-24, 2018","Unsheltered Homeless Unaccompanied Youth Age 18-24, 2018","Homeless Parenting Youth (Under 25), 2018","Sheltered ES Homeless Parenting Youth (Under 25), 2018","Sheltered TH Homeless Parenting Youth (Under 25), 2018","Sheltered Total Homeless Parenting Youth (Under 25), 2018","Unsheltered Homeless Parenting Youth (Under 25), 2018","Homeless Parenting Youth Under 18, 2018","Sheltered ES Homeless Parenting Youth Under 18, 2018","Sheltered TH Homeless Parenting Youth Under 18, 2018","Sheltered Total Homeless Parenting Youth Under 18, 2018","Unsheltered Homeless Parenting Youth Under 18, 2018","Homeless Parenting Youth Age 18-24, 2018","Sheltered ES Homeless Parenting Youth Age 18-24, 2018","Sheltered TH Homeless Parenting Youth Age 18-24, 2018","Sheltered Total Homeless Parenting Youth Age 18-24, 2018","Unsheltered Homeless Parenting Youth Age 18-24, 2018","Homeless Children of Parenting Youth, 2018","Sheltered ES Homeless Children of Parenting Youth, 2018","Sheltered TH Homeless Children of Parenting Youth, 2018","Sheltered Total Homeless Children of Parenting Youth, 2018","Unsheltered Homeless Children of Parenting Youth, 2018"
AK,"2,016","1,248",459,0,"1,707",309,"1,434",953,220,0,"1,173",261,582,295,239,534,48,193,100,75,175,18,357,275,0,275,82,323,243,0,243,80,34,32,32,2,132,87,23,0,110,22,163,86,64,0,150,13,8,8,0,0,8,0,155,78,64,0,142,13,26,14,10,24,2,1,0,1,1,0,25,14,9,23,2,26,14,10,24,2
AL,"3,434","1,519",865,40,"2,424","1,010","2,570","1,057",596,40,"1,693",877,864,462,269,731,133,280,153,90,243,37,540,328,13,341,199,472,264,13,277,195,68,64,64,4,339,170,97,0,267,72,158,67,38,8,113,45,44,17,18,8,43,1,114,50,20,0,70,44,27,11,8,19,8,0,0,0,0,0,27,11,8,19,8,36,16,13,29,7
AR,"2,712",933,516,6,"1,455","1,257","2,280",708,367,6,"1,081","1,199",432,225,149,374,58,147,76,51,127,20,466,149,4,153,313,453,149,4,153,300,13,0,0,13,251,81,69,0,150,101,240,51,71,0,122,118,43,13,27,0,40,3,197,38,44,0,82,115,8,5,2,7,1,0,0,0,0,0,8,5,2,7,1,11,7,2,9,2
AZ,"9,865","3,615","2,144",40,"5,799","4,066","7,259","2,327",987,40,"3,354","3,905","2,606","1,288","1,157","2,445",161,792,390,355,745,47,"1,774",576,13,589,"1,185","1,740",551,13,564,"1,176",34,25,25,9,893,217,295,28,540,353,638,216,181,0,397,241,48,29,19,0,48,0,590,187,162,0,349,241,64,19,36,55,9,1,0,1,1,0,63,19,35,54,9,81,28,45,73,8
CA,"129,972","27,475","12,737",217,"40,429","89,543","109,008","16,507","6,911",217,"23,635","85,373","20,964","10,968","5,826","16,794","4,170","6,702","3,464","1,908","5,372","1,330","34,332","5,549",101,"5,650","28,682","32,668","4,756",101,"4,857","27,811","1,664",793,793,871,"10,836","1,486","2,000",136,"3,622","7,214","12,396","1,084","1,391",1,"2,476","9,920","1,426",158,48,0,206,"1,220","10,970",926,"1,343",1,"2,270","8,700","1,082",570,389,959,123,5,3,0,3,2,"1,077",567,389,956,121,"1,215",631,464,"1,095",120
CO,"10,857","4,158","2,348",22,"6,528","4,329","7,607","3,317",963,22,"4,302","3,305","3,250",841,"1,385","2,226","1,024",990,258,431,689,301,"2,738","1,138",22,"1,160","1,578","2,571","1,077",22,"1,099","1,472",167,61,61,106,"1,073",468,187,2,657,416,593,217,57,0,274,319,22,6,1,0,7,15,571,211,56,0,267,304,135,32,67,99,36,0,0,0,0,0,135,32,67,99,36,152,30,86,116,36
CT,"3,976","2,879",516,0,"3,395",581,"2,280","1,451",248,0,"1,699",581,"1,696","1,428",268,"1,696",0,553,464,89,553,0,341,238,0,238,103,298,195,0,195,103,43,43,43,0,190,38,139,0,177,13,187,94,24,0,118,69,7,5,0,0,5,2,180,89,24,0,113,67,73,33,40,73,0,0,0,0,0,0,73,33,40,73,0,103,49,54,103,0
DC,"6,904","5,095","1,209",0,"6,304",600,"3,770","2,472",698,0,"3,170",600,"3,134","2,623",511,"3,134",0,924,744,180,924,0,"1,781","1,481",0,"1,481",300,"1,586","1,286",0,"1,286",300,195,195,195,0,306,119,127,0,246,60,318,135,149,0,284,34,9,5,3,0,8,1,309,130,146,0,276,33,232,143,89,232,0,0,0,0,0,0,232,143,89,232,0,401,265,136,401,0
DE,"1,082",702,282,5,989,93,708,460,150,5,615,93,374,242,132,374,0,125,83,42,125,0,189,170,0,170,19,162,143,0,143,19,27,27,27,0,70,46,17,4,67,3,53,26,19,0,45,8,1,0,1,0,1,0,52,26,18,0,44,8,14,9,5,14,0,1,0,1,1,0,13,9,4,13,0,15,9,6,15,0
FL,"31,030","12,089","5,419",129,"17,637","13,393","21,443","7,031","3,526",129,"10,686","10,757","9,587","5,058","1,893","6,951","2,636","2,757","1,501",569,"2,070",687,"5,302","1,404",44,"1,448","3,854","4,543","1,193",44,"1,237","3,306",759,211,211,548,"2,543",591,959,32,"1,582",961,"1,892",628,389,3,"1,020",872,441,231,88,0,319,122,"1,451",397,301,3,701,750,301,177,73,250,51,4,1,1,2,2,297,176,72,248,49,448,268,118,386,62
